Name,Address,Phone,Website
All Saints,"630 Lime City Road Rossford, OH 43460",419-661-2070,http://www.allsaintscatholic.org
Bishop Hoffman Sacred Heart Campus,"550 Smith Road Fremont, OH 43420",419-332-7102,http://www.bishop-hoffman.net
Blessed Sacrament,"4255 Bellevue Road Toledo, OH 43613",419-472-1121,http://school.blessedsacramenttoledo.com/
Calvert Catholic Elementary School,"357 South Washington Street Tiffin, OH 44883",419-447-5790,http://www.calvertcatholic.org
Calvert Catholic Jr. High and High School,"152 Madison Street Tiffin, OH 44883",419-447-3844,http://www.calvertcatholic.org
Cardinal Stritch Catholic High School and Academy,"3225 Pickle Road Oregon, OH 43616",419-693-0465,http://www.cardinalstritch.org
Christ the King,"4100 Harvest Lane Toledo, OH 43623-4399",419-475-0909,http://www.ckschool.org
Divine Mercy,"120 Arturus Street Payne, OH 45880",419-263-2114,http://www.dmcps.org
Gesu,"2045 Parkside Blvd Toledo, OH 43607-1555",419-536-5634,http://www.gesutoledo.com
Holy Cross,"1745 South Clinton Street Defiance, OH 43512",419-784-2021,http://www.defianceholycross.org
All Saints,"630 Lime City Road Rossford, OH 43460",419-661-2070,http://www.allsaintscatholic.org
Bishop Hoffman Sacred Heart Campus,"550 Smith Road Fremont, OH 43420",419-332-7102,http://www.bishop-hoffman.net
Blessed Sacrament,"4255 Bellevue Road Toledo, OH 43613",419-472-1121,http://school.blessedsacramenttoledo.com/
Calvert Catholic Elementary School,"357 South Washington Street Tiffin, OH 44883",419-447-5790,http://www.calvertcatholic.org
Calvert Catholic Jr. High and High School,"152 Madison Street Tiffin, OH 44883",419-447-3844,http://www.calvertcatholic.org
Cardinal Stritch Catholic High School and Academy,"3225 Pickle Road Oregon, OH 43616",419-693-0465,http://www.cardinalstritch.org
Christ the King,"4100 Harvest Lane Toledo, OH 43623-4399",419-475-0909,http://www.ckschool.org
Divine Mercy,"120 Arturus Street Payne, OH 45880",419-263-2114,http://www.dmcps.org
Gesu,"2045 Parkside Blvd Toledo, OH 43607-1555",419-536-5634,http://www.gesutoledo.com
Holy Cross,"1745 South Clinton Street Defiance, OH 43512",419-784-2021,http://www.defianceholycross.org
Holy Trinity,"2639 U.S. State Route 20 Swanton, OH 43558-9558",419-644-3971,http://myholytrinityschool.com
Immaculate Conception,"109 W 4th St Port Clinton, OH 43452",419-734-3315,http://www.portclintonics.net
Immaculate Conception,"304 East Main Street Bellevue, OH 44811-1404",419-483-6066,http://www.icbellevue.org
Lial Catholic School,"5700 Davis Road Whitehouse, OH 43571",419-877-5167,http://www.lialschool.org
Lima Central Catholic High School,"720 South Cable Road Lima, OH 45805",419-222-4276,http://www.lcchs.edu
Norwalk Catholic Early Childhood,"77 State Street Norwalk, OH 44875",419-668-8480,http://www.ncsweb.org
Norwalk Catholic School,"31 Milan Ave Norwalk, OH 44857",419-668-6091,http://www.ncsweb.org
Norwalk Catholic School Junior High,"93 East Main St. Norwalk, OH 44857",419-668-3005,http://www.ncsweb.org
Notre Dame Academy,"3535 Sylvania Avenue Toledo, OH 43623",419-475-9359,http://www.nda.org
Notre Dame Junior Academy,"3535 Sylvania Avenue Toledo, OH 43623",419-475-9359,http://www.nda.org
Holy Trinity,"2639 U.S. State Route 20 Swanton, OH 43558-9558",419-644-3971,http://myholytrinityschool.com
Immaculate Conception,"109 W 4th St Port Clinton, OH 43452",419-734-3315,http://www.portclintonics.net
Immaculate Conception,"304 East Main Street Bellevue, OH 44811-1404",419-483-6066,http://www.icbellevue.org
Lial Catholic School,"5700 Davis Road Whitehouse, OH 43571",419-877-5167,http://www.lialschool.org
Lima Central Catholic High School,"720 South Cable Road Lima, OH 45805",419-222-4276,http://www.lcchs.edu
Norwalk Catholic Early Childhood,"77 State Street Norwalk, OH 44875",419-668-8480,http://www.ncsweb.org
Norwalk Catholic School,"31 Milan Ave Norwalk, OH 44857",419-238-5186,http://www.stmarysroyals.org
Sandusky Central Catholic Elementary School,"530 Decatur Street Sandusky, OH 44870",419-626-1892,http://www.sanduskycc.org
Sandusky Central Catholic School,"410 W. Jefferson Street Sandusky, OH 44870",419-626-1892,http://www.sanduskycc.org
SS. Peter and Paul,"320 North Locust Street Ottawa, OH 45875-1496",419-523-3697,http://www.spps.noacsc.org
Our Lady Of Consolation,"401 Clay Street Carey, OH 43316-1496",419-396-6166,http://www.schoolourladyofconsolation.com
Our Lady of Perpetual Help,"2255 Central Grove Toledo, OH 43614-4321",419-382-5696,http://www.school.olphtoledo.org
Queen of Apostles,"235 Courtland Avenue Toledo, OH 43609",419-241-7829,http://www.ccmt419.com/queen-of-apostles/
Regina Coeli,"600 Regina Parkway Toledo, OH 43612-3399",419-476-0920,http://www.regina-coeli.org
Rosary Cathedral,"2535 Collingwood Boulevard Toledo, OH 43610",419-243-4396,http://www.ccmt419.org/rosary-cathedral/
Sacred Heart,"5754 State Route 61 South Shelby, OH 44875-9802",419-342-2797,http://www.sacredheartbethlehem.org/school-news
Saint Mary of the Assumption Catholic School,"611 Jennings Rd Van Wert, OH 45891",419-238-5186,http://www.stmarysroyals.org
Sandusky Central Catholic Elementary School,"530 Decatur Street Sandusky, OH 44870",419-626-1892,http://www.sanduskycc.org
Sandusky Central Catholic School,"410 W. Jefferson Street Sandusky, OH 44870",419-626-1892,http://www.sanduskycc.org
SS. Peter and Paul,"320 North Locust Street Ottawa, OH 45875-1496",419-523-3697,http://www.spps.noacsc.org
St. Aloysius,"148 S. Enterprise St. Bowling Green, OH 43402-2916",419-352-8614,http://www.stalschoolbg.org
St. Anthony,"520 . Sycamore St. Columbus Grove, OH 45830-1020",419-659-2103,http://www.stanthonyschool.info/index
